0,0.5007
1,0.4212
2,0.3929
3,0.3801
4,0.3777
5,0.3766
6,0.3763
7,0.3763
8,0.3709
9,0.3722
10,0.3701
11,0.373
12,0.3764
13,0.3757
14,0.3744
15,0.3741
16,0.373
17,0.3717
18,0.3751
19,0.3749
20,0.3734
21,0.3752
22,0.3758
23,0.3764
24,0.3765
25,0.3763
26,0.3762
27,0.3769
28,0.3801
29,0.3758
30,0.3758
31,0.3781
32,0.3771
33,0.3772
34,0.3767
35,0.3718
36,0.3723
37,0.3728
38,0.3723
39,0.3727
40,0.3754
41,0.3721
42,0.3706
43,0.3694
44,0.3715
45,0.3704
46,0.3729
47,0.3727
48,0.3734
49,0.3696
50,0.3713
51,0.3735
52,0.3741
53,0.3733
54,0.3723
55,0.3746
56,0.3773
57,0.3735
58,0.3761
59,0.3781
60,0.375
61,0.3733
62,0.3718
63,0.3699
64,0.3725
65,0.3732
66,0.3747
67,0.3755
68,0.3712
69,0.3703
70,0.3736
71,0.3678
72,0.3686
73,0.3706
74,0.3716
75,0.3718
76,0.371
77,0.3742
78,0.3771
79,0.3721
80,0.3715
81,0.3736
82,0.3717
83,0.3735
84,0.3721
85,0.3708
86,0.3739
87,0.37
88,0.3719
89,0.3726
90,0.372
91,0.3712
92,0.3705
93,0.3727
94,0.3723
95,0.3705
96,0.3721
97,0.3716
98,0.3719
99,0.3708
