0,0.4602,0.4418,1.52137,
1,0.4638,0.4495,12.4723,
2,0.4529,0.4394,0.637775,
3,0.4577,0.4442,35.3952,
4,0.4644,0.4499,3.03646,
5,0.4557,0.4412,1.1568,
6,0.4611,0.4546,4.63821,
7,0.4565,0.443,11.1211,
8,0.4537,0.4445,14.2904,
9,0.4552,0.4471,1.17191,
10,0.4597,0.4427,1.54165,
11,0.4561,0.4476,7.67589,
12,0.4605,0.4452,1.21497,
13,0.4598,0.4528,0.896665,
14,0.4657,0.4465,7.1044,
15,0.4552,0.451,1.80801,
16,0.4598,0.4524,9.52771,
17,0.4637,0.4451,3.72032,
18,0.4579,0.4526,11.4246,
19,0.459,0.4507,1.05729,
20,0.4671,0.454,2.19665,
21,0.4622,0.4517,0.84971,
22,0.4527,0.4548,2.25584,
23,0.4596,0.4481,43.1195,
24,0.4606,0.4487,3.80492,
25,0.4639,0.4424,2.30577,
26,0.4607,0.4475,1.38629,
27,0.4576,0.4437,1.51946,
28,0.463,0.4394,1.0848,
29,0.4589,0.4432,1.41875,
30,0.4603,0.4466,1.19038,
31,0.4594,0.4466,0.722926,
32,0.4606,0.4479,23.2494,
33,0.463,0.4534,60.7718,
34,0.459,0.4469,0.87233,
35,0.4579,0.4411,4.85887,
36,0.4607,0.4563,0.500768,
37,0.4661,0.4475,59.8991,
38,0.4548,0.4567,1.05897,
39,0.4651,0.4534,2.54623,
40,0.4608,0.45,1.96415,
41,0.461,0.4462,1.02604,
42,0.4606,0.4555,6.59841,
43,0.4673,0.4382,1.93232,
44,0.4532,0.4522,0.825164,
45,0.456,0.449,2.15515,
46,0.4606,0.4476,5.97675,
47,0.4561,0.4485,50.6737,
48,0.4625,0.4513,9.59169,
49,0.4582,0.4468,3.86552,
50,0.4603,0.4485,3.49111,
51,0.4644,0.4499,8.03511,
52,0.4571,0.4425,11.0295,
53,0.463,0.4535,1.32849,
54,0.4649,0.4436,1.72153,
55,0.4649,0.4569,2.61583,
56,0.467,0.4496,3.51934,
57,0.4589,0.4566,1.7934,
58,0.4623,0.4497,4.178,
59,0.455,0.453,3.01237,
60,0.4614,0.4473,1.58384,
61,0.4633,0.4484,0.664421,
62,0.4631,0.4476,0.592486,
63,0.4614,0.448,0.540814,
64,0.4613,0.4452,1.62516,
65,0.4619,0.4487,3.14317,
66,0.4599,0.4467,0.724375,
67,0.4609,0.4412,6.65629,
68,0.4619,0.4457,0.224117,
69,0.4606,0.4433,1.35627,
70,0.4607,0.4589,2.88428,
71,0.4602,0.4389,2.97842,
72,0.4594,0.4514,1.22994,
73,0.4634,0.4464,3.01111,
74,0.4615,0.4571,3.34939,
75,0.4591,0.4516,1.59697,
76,0.4617,0.4408,2.47663,
77,0.4624,0.4472,4.72682,
78,0.4608,0.4482,1.90277,
79,0.4584,0.4418,2.39438,
80,0.458,0.4464,0.600853,
81,0.4601,0.4455,2.04374,
82,0.469,0.4533,2.49349,
83,0.4538,0.4522,58.8968,
84,0.4523,0.4537,1.7298,
85,0.4613,0.4469,1.03667,
86,0.4598,0.455,3.36345,
87,0.462,0.4494,11.2463,
88,0.4589,0.4472,2.42995,
89,0.4615,0.4416,0.499743,
90,0.4566,0.4501,1.57573,
91,0.4609,0.447,1.8477,
92,0.4578,0.4411,2.17079,
93,0.462,0.4445,0.728104,
94,0.4599,0.4516,1.60405,
95,0.4576,0.4459,0.683416,
96,0.4621,0.4481,2.52214,
97,0.4632,0.4461,4.22439,
98,0.4605,0.4476,0.887141,
99,0.4614,0.4453,0.411571,
