0,0.4994,
1,0.4731,
2,0.4621,
3,0.4573,
4,0.4608,
5,0.4594,
6,0.4546,
7,0.4533,
8,0.4638,
9,0.4571,
10,0.4582,
11,0.4591,
12,0.4567,
13,0.455,
14,0.4533,
15,0.4567,
16,0.4578,
17,0.4538,
18,0.4556,
19,0.4601,
20,0.4613,
21,0.4584,
22,0.4621,
23,0.4569,
24,0.4562,
25,0.4539,
26,0.4563,
27,0.4627,
28,0.4574,
29,0.4585,
30,0.4606,
31,0.463,
32,0.4634,
33,0.4597,
34,0.4622,
35,0.4654,
36,0.4622,
37,0.4617,
38,0.4568,
39,0.4566,
40,0.4606,
41,0.4582,
42,0.4588,
43,0.4599,
44,0.4619,
45,0.4634,
46,0.4611,
47,0.4601,
48,0.4605,
49,0.4594,
50,0.4607,
51,0.4553,
52,0.4594,
53,0.4662,
54,0.4621,
55,0.452,
56,0.4533,
57,0.455,
58,0.4573,
59,0.4518,
60,0.4577,
61,0.4565,
62,0.4599,
63,0.4621,
64,0.4599,
65,0.4565,
66,0.4605,
67,0.4592,
68,0.4616,
69,0.4576,
70,0.4593,
71,0.4586,
72,0.4648,
73,0.4655,
74,0.4608,
75,0.4565,
76,0.4623,
77,0.4612,
78,0.4592,
79,0.4545,
80,0.452,
81,0.4564,
82,0.4601,
83,0.454,
84,0.462,
85,0.4568,
86,0.4559,
87,0.4584,
88,0.4557,
89,0.4521,
90,0.4532,
91,0.4557,
92,0.4534,
93,0.456,
94,0.4623,
95,0.4591,
96,0.4577,
97,0.4599,
98,0.4583,
99,0.4582,
